id,cite_key,collection,topic,status,year,authors,title,venue,volume,issue,pages_or_article,doi,arxiv,local_fulltext,manuscript_role,decision
J001,,jgt_structure_corpus,spectral_extremal,published,2024,Longfei Fang; Huiqiu Lin; Yongtang Shi,Extremal spectral results of planar graphs without vertex-disjoint cycles,Journal of Graph Theory,106,3,496-524,10.1002/jgt.23084,2304.06942,,one proof section per headline theorem,style only
J002,,jgt_structure_corpus,spectral_method,published,2024,Krystal Guo; Sam Spiro,New eigenvalue bound for the fractional chromatic number,Journal of Graph Theory,106,,167-180,10.1002/jgt.23071,,,general spectral mechanism then technical lemma,style only
J003,,jgt_structure_corpus,finite_computation,published,2024,Jan Goedgebeur; Jarne Renders; Gabor Wiener; Carol T. Zamfirescu,K2-Hamiltonian graphs: II,Journal of Graph Theory,105,4,580-611,10.1002/jgt.23057,,,reduction before finite computation and certificates,style only
J004,,jgt_structure_corpus,spectral_method,published,2025,Paul Horn; Adam Purcilly; Alex Stevens,Graph curvature and local discrepancy,Journal of Graph Theory,108,2,337-360,10.1002/jgt.23176,,,general inequality then graph applications,style only
J005,,jgt_structure_corpus,spectral_characterization,published,2025,Sabrina Lato,Polynomial characterizations of distance-biregular graphs,Journal of Graph Theory,109,3,282-293,10.1002/jgt.23227,2210.07139,,reusable characterization sections,style only
J006,,jgt_structure_corpus,spectral_method,published,2025,Yuly Billig,Eigenvalue approach to dense clusters in hypergraphs,Journal of Graph Theory,109,3,353-365,10.1002/jgt.23218,,,graph problem then matrix tool and applications,style only
J007,,jgt_structure_corpus,spectral_optimization,published,2025,Stefan Steinerberger; Rekha R. Thomas,Conformally rigid graphs,Journal of Graph Theory,109,3,366-386,10.1002/jgt.23229,2402.11758,,main results then exact certificate machinery,style only
J008,,jgt_structure_corpus,spectral_extremal,published,2025,Yongtao Li; Lihua Feng; Yuejian Peng,A spectral Erdos-Faudree-Rousseau theorem,Journal of Graph Theory,110,,408-425,10.1002/jgt.23280,2406.13176,,general method then separate headline proofs,style only
J009,,jgt_structure_corpus,spectral_extremal,published,2025,Shuchao Li; Sishu Zhao; Lantao Zou,"Spectral extrema of graphs with fixed size: forbidden a fan graph, a friendship graph, or a theta graph",Journal of Graph Theory,110,4,483-495,10.1002/jgt.23287,2409.15918,,structural reduction then exact synthesis,style only
J010,,jgt_structure_corpus,counterexample_structure,published,2025,Sandra Albrechtsen; Raphael W. Jacobs; Paul Knappe; Max Pitz,Counterexamples regarding linked and lean tree-decompositions of infinite graphs,Journal of Graph Theory,110,,398-407,10.1002/jgt.23279,2405.06755,,counterexamples grouped by structural question,style only
V001,,reserve,signed_spectral_limits,published,2024,Francesco Belardo; Maurizio Brunetti,Limit points for the spectral radii of signed graphs,Discrete Mathematics,347,2,113745,10.1016/j.disc.2023.113745,,research/related_work/papers/core/2024_Belardo_LimitPointsSignedSpectralRadii.md,modern signed-radius programme,reserve because current role duplicates broader programme citation
V002,,reserve,signed_spectral_limits,published,2026,Maurizio Brunetti; Vilmar Trevisan,Limit points for the spectral radii of unbalanced signed graphs,Discrete Mathematics,349,3,114855,10.1016/j.disc.2025.114855,,research/related_work/papers/core/2026_Brunetti_LimitPointsUnbalancedSigned.md,recent signed-radius continuation,reserve because outside exact fixed-graph mechanism
V003,,reserve,periodic_operator_defects,published,2006,Peter Kuchment; Boris Vainberg,On the structure of eigenfunctions corresponding to embedded eigenvalues of locally perturbed periodic graph operators,Communications in Mathematical Physics,268,3,673-686,10.1007/s00220-006-0105-2,math-ph/0511084,research/related_work/papers/methods/2006_Kuchment_LocalPerturbedPeriodicGraphOperators.pdf,local defect operator precedent,defer because present paper has no interface-state theorem
V004,,reserve,jgt_classification_architecture,published,2021,Huiqiu Lin; Bo Ning,A complete solution to the Cvetkovic-Rowlinson conjecture,Journal of Graph Theory,97,3,441-450,10.1002/jgt.22667,1912.11627,research/related_work/papers/methods/2021_Lin_CompleteCvetkovicRowlinsonClassification.pdf,older JGT classification architecture,reserve style reference not topical citation
V005,,reserve,finite_generation_architecture,published,2018,Jan Goedgebeur; Oliver Schaudt,Exhaustive generation of k-critical H-free graphs,Journal of Graph Theory,87,2,188-207,10.1002/jgt.22151,1506.03647,research/related_work/papers/methods/2018_Goedgebeur_ExhaustiveGenerationCriticalGraphs.pdf,completeness-first finite generation architecture,reserve style reference superseded by recent corpus
